SUBJECT,ITEM,LEXICALITY,REPETITION,CASE,RT,ACCURACY
3,74,word,unrelated,lowercase,557.91,1
3,75,word,unrelated,lowercase,557.94,1
3,76,word,unrelated,lowercase,643.21,1
3,77,word,unrelated,lowercase,736.88,1
3,78,word,unrelated,lowercase,667.73,1
3,79,word,unrelated,lowercase,446.06,1
3,80,word,unrelated,lowercase,595.33,1
3,81,word,unrelated,lowercase,529.71,1
3,82,word,unrelated,lowercase,632.19,1
3,83,word,unrelated,lowercase,635.83,1
3,84,word,unrelated,lowercase,712.67,1
3,85,word,unrelated,lowercase,563.3,1
3,86,word,unrelated,lowercase,598.91,1
3,87,word,unrelated,lowercase,487.01,1
3,88,word,unrelated,lowercase,827.1,1
3,89,word,unrelated,lowercase,560.52,1
3,90,word,unrelated,lowercase,580.05,1
3,91,word,unrelated,alternating,580.74,1
3,92,word,unrelated,alternating,594.59,1
3,93,word,unrelated,alternating,579.37,1
3,94,word,unrelated,alternating,706.62,1
3,95,word,unrelated,alternating,580.35,1
3,96,word,unrelated,alternating,614.98,1
3,97,word,unrelated,alternating,573.29,1
3,98,word,unrelated,alternating,571.51,1
3,99,word,unrelated,alternating,679.98,1
3,100,word,unrelated,alternating,599.44,1
3,101,word,unrelated,alternating,648.73,1
3,102,word,unrelated,alternating,488.3,1
3,103,word,unrelated,alternating,557.3,1
3,104,word,unrelated,alternating,547.9,1
3,105,word,unrelated,alternating,500.36,1
3,106,word,unrelated,alternating,528.64,1
3,107,word,unrelated,alternating,610.37,1
3,108,word,unrelated,alternating,596.15,1
3,109,word,unrelated,alternating,662.22,1
3,110,word,unrelated,alternating,466.96,1
3,111,word,unrelated,alternating,815.98,1
3,112,word,unrelated,alternating,606.13,1
3,113,word,unrelated,alternating,672.78,1
3,114,word,unrelated,alternating,614.73,1
3,115,word,unrelated,alternating,771.26,1
3,116,word,unrelated,alternating,558.47,1
3,117,word,unrelated,alternating,565.33,1
3,118,word,unrelated,alternating,550.24,1
3,119,word,unrelated,alternating,697.03,1
3,120,word,unrelated,alternating,640.24,1
4,1,word,repeated,lowercase,392.34,1
4,2,word,repeated,lowercase,351.31,1
4,3,word,repeated,lowercase,422.63,1
4,4,word,repeated,lowercase,377.97,1
4,5,word,repeated,lowercase,342.17,1
4,6,word,repeated,lowercase,371,1
4,7,word,repeated,lowercase,392.96,1
4,8,word,repeated,lowercase,435.19,1
4,9,word,repeated,lowercase,398.01,1
4,10,word,repeated,lowercase,349.72,1
4,11,word,repeated,lowercase,371.1,1
4,12,word,repeated,lowercase,374.24,1
4,13,word,repeated,lowercase,344.35,1
4,14,word,repeated,lowercase,481.19,1
4,15,word,repeated,lowercase,368.6,1
4,16,word,repeated,lowercase,357.8,1
4,17,word,repeated,lowercase,362.13,1
4,18,word,repeated,lowercase,361.12,1
4,19,word,repeated,lowercase,473.94,1
4,20,word,repeated,lowercase,376.29,1
4,21,word,repeated,lowercase,381.96,1
4,22,word,repeated,lowercase,354.96,1
4,23,word,repeated,lowercase,474.43,1
4,24,word,repeated,lowercase,391.81,1
4,25,word,repeated,lowercase,349.53,1
4,26,word,repeated,lowercase,386.96,1
4,27,word,repeated,lowercase,412.43,1
4,28,word,repeated,lowercase,455.2,1
4,29,word,repeated,lowercase,395.4,1
4,30,word,repeated,lowercase,390.09,1
4,31,word,repeated,alternating,387.57,1
4,32,word,repeated,alternating,421.25,1
4,33,word,repeated,alternating,452.65,1
4,34,word,repeated,alternating,414.31,1
4,35,word,repeated,alternating,473.11,1
4,36,word,repeated,alternating,365.23,1
4,37,word,repeated,alternating,382.1,1
4,38,word,repeated,alternating,411.06,1
4,39,word,repeated,alternating,514.43,1
4,40,word,repeated,alternating,414.56,1
4,41,word,repeated,alternating,403.45,1
4,42,word,repeated,alternating,424.26,1
4,43,word,repeated,alternating,384.53,1
4,44,word,repeated,alternating,368.9,1
4,45,word,repeated,alternating,363.19,1
4,46,word,repeated,alternating,437.92,1
4,47,word,repeated,alternating,379.49,1
4,48,word,repeated,alternating,374.23,1
4,49,word,repeated,alternating,365.69,1
4,50,word,repeated,alternating,445.05,1
4,51,word,repeated,alternating,376.69,1
4,52,word,repeated,alternating,335.46,1
4,53,word,repeated,alternating,376.77,1
4,54,word,repeated,alternating,391.76,1
4,55,word,repeated,alternating,387.14,1
4,56,word,repeated,alternating,402.51,1
4,57,word,repeated,alternating,457.2,1
4,58,word,repeated,alternating,383.72,1
4,59,word,repeated,alternating,386.55,1
4,60,word,repeated,alternating,368.41,1
4,61,word,unrelated,lowercase,408.08,1
4,62,word,unrelated,lowercase,421.67,1
4,63,word,unrelated,lowercase,347.09,1
4,64,word,unrelated,lowercase,437.1,1
4,65,word,unrelated,lowercase,441.91,1
4,66,word,unrelated,lowercase,527.74,1
4,67,word,unrelated,lowercase,421.33,1
4,68,word,unrelated,lowercase,NA,0
4,69,word,unrelated,lowercase,531.18,1
4,70,word,unrelated,lowercase,478.79,1
4,71,word,unrelated,lowercase,NA,0
4,72,word,unrelated,lowercase,475.23,1
4,73,word,unrelated,lowercase,370.94,1
4,74,word,unrelated,lowercase,365.75,1
4,75,word,unrelated,lowercase,384.04,1
4,76,word,unrelated,lowercase,547.08,1
4,77,word,unrelated,lowercase,434.51,1
4,78,word,unrelated,lowercase,362.5,1
4,79,word,unrelated,lowercase,406.02,1
4,80,word,unrelated,lowercase,433.18,1
4,81,word,unrelated,lowercase,466.35,1
4,82,word,unrelated,lowercase,440.02,1
4,83,word,unrelated,lowercase,550.63,1
4,84,word,unrelated,lowercase,440.69,1
4,85,word,unrelated,lowercase,539.28,1
4,86,word,unrelated,lowercase,490.42,1
4,87,word,unrelated,lowercase,429.06,1
4,88,word,unrelated,lowercase,399.2,1
4,89,word,unrelated,lowercase,373.92,1
4,90,word,unrelated,lowercase,444.5,1
4,91,word,unrelated,alternating,376.38,1
4,92,word,unrelated,alternating,386.98,1
4,93,word,unrelated,alternating,464.44,1
4,94,word,unrelated,alternating,387.42,1
4,95,word,unrelated,alternating,368.83,1
4,96,word,unrelated,alternating,421.8,1
4,97,word,unrelated,alternating,459.07,1
4,98,word,unrelated,alternating,407.3,1
4,99,word,unrelated,alternating,488.16,1
4,100,word,unrelated,alternating,449.25,1
4,101,word,unrelated,alternating,402.92,1
4,102,word,unrelated,alternating,405.84,1
4,103,word,unrelated,alternating,491.79,1
4,104,word,unrelated,alternating,457.79,1
4,105,word,unrelated,alternating,392.39,1
4,106,word,unrelated,alternating,503.98,1
4,107,word,unrelated,alternating,475.49,1
4,108,word,unrelated,alternating,376.59,1
4,109,word,unrelated,alternating,459.26,1
4,110,word,unrelated,alternating,465.3,1
4,111,word,unrelated,alternating,475.22,1
4,112,word,unrelated,alternating,457.91,1
4,113,word,unrelated,alternating,449.48,1
4,114,word,unrelated,alternating,437.67,1
4,115,word,unrelated,alternating,455.38,1
4,116,word,unrelated,alternating,408.49,1
4,117,word,unrelated,alternating,450.42,1
4,118,word,unrelated,alternating,402.99,1
4,119,word,unrelated,alternating,448.41,1
4,120,word,unrelated,alternating,501.5,1
5,1,word,repeated,lowercase,500.07,1
5,2,word,repeated,lowercase,582.4,1
5,3,word,repeated,lowercase,769.4,1
5,4,word,repeated,lowercase,638.98,1
5,5,word,repeated,lowercase,956.63,1
5,6,word,repeated,lowercase,468.59,1
5,7,word,repeated,lowercase,554.46,1
5,8,word,repeated,lowercase,750.99,1
5,9,word,repeated,lowercase,825.89,1
5,10,word,repeated,lowercase,708.32,1
5,11,word,repeated,lowercase,585.35,1
5,12,word,repeated,lowercase,473.08,1
5,13,word,repeated,lowercase,623.62,1
5,14,word,repeated,lowercase,883.55,1
5,15,word,repeated,lowercase,859.21,1
5,16,word,repeated,lowercase,700.06,1
5,17,word,repeated,lowercase,876.2,1
5,18,word,repeated,lowercase,871.64,1
5,19,word,repeated,lowercase,787.55,1
5,20,word,repeated,lowercase,544.27,1
5,21,word,repeated,lowercase,574,1
5,22,word,repeated,lowercase,623.88,1
5,23,word,repeated,lowercase,960.03,1
5,24,word,repeated,lowercase,610.9,1
5,25,word,repeated,lowercase,494.03,1
5,26,word,repeated,lowercase,655.43,1
5,27,word,repeated,lowercase,651.68,1
5,28,word,repeated,lowercase,1321.84,1
5,29,word,repeated,lowercase,478.37,1
5,30,word,repeated,lowercase,552.59,1
5,31,word,repeated,alternating,734.6,1
5,32,word,repeated,alternating,625.87,1
5,33,word,repeated,alternating,590.4,1
5,34,word,repeated,alternating,815.72,1
5,35,word,repeated,alternating,617.98,1
5,36,word,repeated,alternating,591.95,1
5,37,word,repeated,alternating,583.79,1
5,38,word,repeated,alternating,969.92,1
5,39,word,repeated,alternating,704.29,1
5,40,word,repeated,alternating,850.74,1
5,41,word,repeated,alternating,634.18,1
5,42,word,repeated,alternating,716.21,1
5,43,word,repeated,alternating,628.86,1
5,44,word,repeated,alternating,710.68,1
5,45,word,repeated,alternating,489.96,1
5,46,word,repeated,alternating,727.15,1
5,47,word,repeated,alternating,601.96,1
5,48,word,repeated,alternating,532.3,1
5,49,word,repeated,alternating,694.74,1
